date,weather_code,temperature_2m_max,temperature_2m_min,rain_sum,snowfall_sum
2019-09-01,63.0,21.101,15.801,12.5,0.0
2019-09-02,63.0,15.000999,13.151,15.400001,0.0
2019-09-03,2.0,18.151,9.601,0.0,0.0
2019-09-04,1.0,21.101,11.000999,0.0,0.0
2019-09-05,63.0,15.301,10.601,18.800001,0.0
2019-09-06,61.0,13.551,10.051,13.700001,0.0
2019-09-07,61.0,14.051,9.051,8.2,0.0
2019-09-08,63.0,10.500999,8.750999,23.8,0.0
2019-09-09,55.0,13.651,8.301,4.1,0.0
2019-09-10,3.0,16.701,7.9509997,0.0,0.0
2019-09-11,51.0,18.701,9.901,0.70000005,0.0
2019-09-12,2.0,19.651,9.401,0.0,0.0
2019-09-13,1.0,20.851,11.901,0.0,0.0
2019-09-14,2.0,21.001,11.401,0.0,0.0
2019-09-15,1.0,23.001,13.151,0.0,0.0
2019-09-16,51.0,24.201,14.801,0.1,0.0
2019-09-17,51.0,20.351,14.000999,1.1,0.0
2019-09-18,51.0,15.601,8.901,0.2,0.0
2019-09-19,2.0,14.901,7.7009997,0.0,0.0
2019-09-20,1.0,15.451,5.151,0.0,0.0
2019-09-21,1.0,17.801,6.851,0.0,0.0
2019-09-22,51.0,20.801,10.201,0.6,0.0
2019-09-23,63.0,15.201,9.601,13.900001,0.0
2019-09-24,61.0,16.001,7.401,2.8,0.0
2019-09-25,61.0,16.251,9.851,7.7999997,0.0
2019-09-26,61.0,16.651,11.151,9.400002,0.0
2019-09-27,51.0,20.251,12.451,1.6000001,0.0
2019-09-28,63.0,16.001,10.000999,7.1,0.0
2019-09-29,51.0,21.001,8.951,0.2,0.0
2019-09-30,55.0,16.601,9.451,2.0,0.0
2019-10-01,61.0,20.401,8.701,4.6000004,0.0
2019-10-02,63.0,14.701,6.601,16.9,0.0
2019-10-03,51.0,10.601,5.2009997,0.8000001,0.0
2019-10-04,61.0,12.301,3.551,8.0,0.0
2019-10-05,63.0,12.151,8.701,16.1,0.0
2019-10-06,63.0,11.951,7.101,18.7,0.0
2019-10-07,61.0,12.301,5.0509996,3.1999996,0.0
2019-10-08,55.0,17.451,5.001,2.7,0.0
2019-10-09,63.0,14.301,8.051,35.399998,0.0
2019-10-10,51.0,12.551,6.901,0.70000005,0.0
2019-10-11,1.0,15.701,4.151,0.0,0.0
2019-10-12,1.0,20.201,9.701,0.0,0.0
2019-10-13,2.0,21.601,11.701,0.0,0.0
2019-10-14,0.0,19.901,11.750999,0.0,0.0
2019-10-15,63.0,20.101,7.5509996,27.400002,0.0
2019-10-16,53.0,15.401,6.3009996,0.5,0.0
2019-10-17,3.0,17.051,7.501,0.0,0.0
2019-10-18,3.0,16.101,8.601,0.0,0.0
2019-10-19,53.0,13.401,8.051,1.6000001,0.0
2019-10-20,3.0,21.251,8.451,0.0,0.0
2019-10-21,61.0,15.451,10.901,8.399999,0.0
2019-10-22,3.0,14.601,8.451,0.0,0.0
2019-10-23,1.0,19.501,8.601,0.0,0.0
2019-10-24,55.0,16.601,10.701,2.2,0.0
2019-10-25,3.0,15.051,8.101,0.0,0.0
2019-10-26,0.0,17.001,6.401,0.0,0.0
2019-10-27,51.0,18.801,10.201,0.6,0.0
2019-10-28,61.0,11.651,8.051,12.400001,0.0
2019-10-29,61.0,8.051,6.7009997,9.2,0.0
2019-10-30,61.0,7.601,6.101,17.800001,0.0
2019-10-31,55.0,8.851,5.401,2.3,0.0
2019-11-01,53.0,12.101,6.651,1.2,0.0
2019-11-02,55.0,15.651,8.001,2.0,0.0
2019-11-03,61.0,11.250999,7.8009996,10.0,0.0
2019-11-04,63.0,12.901,4.8009996,7.2,0.0
2019-11-05,63.0,8.351,3.951,9.399999,0.0
2019-11-06,53.0,8.301,2.301,1.4000001,0.0
2019-11-07,55.0,9.951,-0.199,3.0,0.0
